2.3	20.66	4.52
3.06	19.13	12.1
0.7	18.5	17.88
-2.02	15.51	20.24
-2.5	15.1	22.19
-8.35	20.1	23.3
-14.47	22.05	14.26
-17.67	-5.43	3.2
-23.23	-20.87	-0.56
-17.04	-24.14	9.39
-8.83	-13.84	33.11
-3.06	14.61	48.63
5.84	39.72	53.63
20.03	34.37	37.57
25.04	0	4.52
30.75	-17.81	-18.57
34.92	-22.26	-30.54
34.37	-13.84	-22.68
34.92	-3.83	-13.36
30.82	13.77	-6.96
23.58	24.49	-10.5
15.03	22.33	-20.52
8.14	9.39	-31.03
4.45	-2.78	-40
2.5	-4.59	-44.8
2.57	6.26	-47.23
3.83	23.17	-45.98
-0.07	17.67	-39.79
8.28	-3.62	-35.48
32.77	-0.35	-23.51
41.53	13.15	-4.03
48.42	6.61	-4.31
46.12	3.97	19.62
7.58	-15.79	14.54
-30.12	-21.29	-5.43
-29.43	-34.85	-24.21
-19.9	-42.43	-4.03
-24.7	-42.64	23.03
-26.43	-25.11	29.29
-26.71	-12.1	25.46
-29.08	-2.85	14.82
-23.93	3.69	5.01
-21.36	-8.35	1.6
-15.79	-6.47	3.41
-7.72	4.17	11.97
-2.5	14.82	18.57
-3.27	23.93	26.43
-4.1	20.17	32.35
-1.25	-0.14	25.74
-4.17	-8.77	16.56
