-0.36	0.26	0.81
-0.38	0.29	0.81
-0.35	0.26	0.82
-0.35	0.26	0.82
-0.34	0.26	0.8
-0.32	0.26	0.82
-0.37	0.28	0.81
-0.35	0.29	0.76
-0.35	0.26	0.79
-0.35	0.26	0.8
-0.35	0.26	0.79
-0.35	0.26	0.8
-0.34	0.26	0.84
-0.36	0.26	0.83
-0.36	0.26	0.78
-0.34	0.24	0.8
-0.35	0.25	0.81
-0.35	0.26	0.75
-0.35	0.27	0.81
-0.34	0.25	0.8
-0.37	0.26	0.81
-0.38	0.26	0.78
-0.35	0.26	0.8
-0.34	0.26	0.82
-0.35	0.26	0.8
-0.36	0.26	0.79
-0.34	0.26	0.81
-0.35	0.26	0.78
-0.33	0.26	0.82
-0.35	0.24	0.78
-0.36	0.26	0.79
-0.36	0.28	0.8
-0.37	0.27	0.78
-0.37	0.26	0.8
-0.38	0.23	0.8
-0.35	0.26	0.79
-0.35	0.27	0.81
-0.35	0.24	0.79
-0.37	0.24	0.79
-0.34	0.24	0.82
-0.37	0.26	0.77
-0.36	0.26	0.79
-0.37	0.26	0.81
-0.33	0.28	0.79
-0.35	0.24	0.79
-0.36	0.27	0.8
-0.37	0.26	0.79
-0.38	0.27	0.77
-0.38	0.27	0.78
-0.35	0.26	0.84
